wavelength,Corolla_Lobe,Corolla_Tube,Leaves
437.29,6.729 ,4.079 ,2.490 
437.5,6.733 ,4.085 ,2.489 
437.7,6.736 ,4.092 ,2.489 
437.9,6.740 ,4.099 ,2.488 
438.11,6.744 ,4.105 ,2.488 
438.31,6.748 ,4.112 ,2.487 
438.51,6.752 ,4.119 ,2.487 
438.72,6.756 ,4.125 ,2.486 
438.92,6.760 ,4.132 ,2.486 
439.12,6.765 ,4.139 ,2.486 
439.33,6.769 ,4.146 ,2.486 
439.53,6.773 ,4.152 ,2.485 
439.73,6.778 ,4.159 ,2.485 
439.93,6.782 ,4.166 ,2.485 
440.14,6.787 ,4.173 ,2.485 
440.34,6.792 ,4.180 ,2.485 
440.54,6.797 ,4.188 ,2.485 
440.75,6.803 ,4.195 ,2.485 
440.95,6.808 ,4.202 ,2.485 
441.15,6.814 ,4.210 ,2.485 
441.36,6.820 ,4.217 ,2.485 
441.56,6.826 ,4.225 ,2.485 
441.76,6.833 ,4.233 ,2.486 
441.97,6.840 ,4.241 ,2.486 
442.17,6.847 ,4.250 ,2.486 
442.37,6.854 ,4.258 ,2.486 
442.57,6.862 ,4.267 ,2.486 
442.78,6.870 ,4.275 ,2.487 
442.98,6.879 ,4.284 ,2.487 
443.18,6.888 ,4.294 ,2.487 
443.39,6.897 ,4.303 ,2.487 
443.59,6.907 ,4.313 ,2.488 
443.79,6.917 ,4.323 ,2.489 
443.99,6.927 ,4.333 ,2.489 
444.2,6.937 ,4.343 ,2.490 
444.4,6.947 ,4.354 ,2.492 
444.6,6.958 ,4.365 ,2.493 
444.81,6.969 ,4.375 ,2.494 
445.01,6.980 ,4.387 ,2.496 
445.21,6.992 ,4.398 ,2.497 
445.41,7.004 ,4.409 ,2.499 
445.62,7.015 ,4.420 ,2.500 
445.82,7.027 ,4.432 ,2.502 
446.02,7.040 ,4.444 ,2.504 
446.23,7.052 ,4.455 ,2.505 
446.43,7.065 ,4.467 ,2.507 
446.63,7.077 ,4.479 ,2.509 
446.83,7.090 ,4.491 ,2.511 
447.04,7.103 ,4.503 ,2.512 
447.24,7.116 ,4.515 ,2.514 
447.44,7.130 ,4.527 ,2.516 
447.64,7.143 ,4.539 ,2.517 
447.85,7.157 ,4.551 ,2.519 
448.05,7.170 ,4.563 ,2.520 
448.25,7.184 ,4.575 ,2.522 
448.46,7.198 ,4.587 ,2.523 
448.66,7.212 ,4.599 ,2.524 
448.86,7.226 ,4.611 ,2.525 
449.06,7.240 ,4.623 ,2.526 
449.27,7.254 ,4.634 ,2.526 
449.47,7.269 ,4.646 ,2.527 
449.67,7.283 ,4.657 ,2.527 
449.87,7.297 ,4.669 ,2.527 
450.08,7.313 ,4.681 ,2.527 
450.28,7.328 ,4.693 ,2.527 
450.48,7.344 ,4.705 ,2.527 
450.68,7.360 ,4.718 ,2.528 
450.89,7.377 ,4.731 ,2.528 
451.09,7.394 ,4.744 ,2.528 
451.29,7.411 ,4.757 ,2.528 
451.49,7.429 ,4.771 ,2.528 
451.7,7.447 ,4.784 ,2.528 
451.9,7.465 ,4.798 ,2.528 
452.1,7.483 ,4.812 ,2.528 
452.3,7.502 ,4.826 ,2.528 
452.51,7.520 ,4.840 ,2.528 
452.71,7.539 ,4.854 ,2.528 
452.91,7.558 ,4.868 ,2.528 
453.11,7.577 ,4.882 ,2.528 
453.31,7.597 ,4.896 ,2.528 
453.52,7.616 ,4.910 ,2.528 
453.72,7.635 ,4.924 ,2.528 
453.92,7.655 ,4.938 ,2.527 
454.12,7.674 ,4.952 ,2.527 
454.33,7.693 ,4.965 ,2.527 
454.53,7.713 ,4.979 ,2.527 
454.73,7.732 ,4.992 ,2.526 
454.93,7.751 ,5.006 ,2.526 
455.14,7.770 ,5.019 ,2.526 
455.34,7.789 ,5.031 ,2.525 
455.54,7.807 ,5.044 ,2.525 
455.74,7.826 ,5.056 ,2.524 
455.94,7.844 ,5.068 ,2.523 
456.15,7.862 ,5.080 ,2.523 
456.35,7.880 ,5.092 ,2.522 
456.55,7.898 ,5.103 ,2.521 
456.75,7.917 ,5.114 ,2.520 
456.95,7.935 ,5.126 ,2.519 
457.16,7.954 ,5.137 ,2.518 
457.36,7.974 ,5.148 ,2.517 
457.56,7.993 ,5.159 ,2.516 
457.76,8.013 ,5.171 ,2.514 
457.97,8.032 ,5.182 ,2.513 
458.17,8.052 ,5.193 ,2.511 
458.37,8.072 ,5.204 ,2.510 
458.57,8.093 ,5.215 ,2.508 
458.77,8.113 ,5.226 ,2.506 
458.98,8.133 ,5.237 ,2.505 
459.18,8.154 ,5.248 ,2.503 
459.38,8.174 ,5.258 ,2.501 
459.58,8.195 ,5.269 ,2.499 
459.78,8.215 ,5.280 ,2.498 
459.99,8.236 ,5.291 ,2.496 
460.19,8.256 ,5.301 ,2.494 
460.39,8.277 ,5.312 ,2.492 
460.59,8.297 ,5.322 ,2.491 
460.79,8.317 ,5.333 ,2.489 
460.99,8.337 ,5.343 ,2.487 
461.2,8.357 ,5.354 ,2.485 
461.4,8.377 ,5.364 ,2.484 
461.6,8.396 ,5.374 ,2.482 
461.8,8.416 ,5.384 ,2.481 
462,8.435 ,5.394 ,2.479 
462.21,8.453 ,5.404 ,2.478 
462.41,8.472 ,5.414 ,2.476 
462.61,8.490 ,5.424 ,2.475 
462.81,8.508 ,5.434 ,2.474 
463.01,8.526 ,5.444 ,2.472 
463.21,8.544 ,5.454 ,2.471 
463.42,8.563 ,5.463 ,2.469 
463.62,8.581 ,5.473 ,2.467 
463.82,8.599 ,5.482 ,2.466 
464.02,8.618 ,5.491 ,2.464 
464.22,8.636 ,5.500 ,2.462 
464.42,8.655 ,5.510 ,2.459 
464.63,8.673 ,5.519 ,2.457 
464.83,8.692 ,5.528 ,2.455 
465.03,8.710 ,5.536 ,2.453 
465.23,8.729 ,5.545 ,2.451 
465.43,8.747 ,5.554 ,2.448 
465.63,8.766 ,5.563 ,2.446 
465.84,8.784 ,5.572 ,2.444 
466.04,8.802 ,5.580 ,2.441 
466.24,8.821 ,5.589 ,2.439 
466.44,8.839 ,5.597 ,2.437 
466.64,8.857 ,5.606 ,2.434 
466.84,8.875 ,5.614 ,2.432 
467.05,8.893 ,5.623 ,2.430 
467.25,8.910 ,5.631 ,2.428 
467.45,8.928 ,5.640 ,2.426 
467.65,8.946 ,5.648 ,2.424 
467.85,8.963 ,5.657 ,2.423 
468.05,8.980 ,5.665 ,2.421 
468.25,8.997 ,5.673 ,2.419 
468.46,9.014 ,5.682 ,2.418 
468.66,9.031 ,5.690 ,2.417 
468.86,9.047 ,5.698 ,2.416 
469.06,9.063 ,5.707 ,2.415 
469.26,9.079 ,5.715 ,2.414 
469.46,9.095 ,5.724 ,2.413 
469.66,9.111 ,5.732 ,2.413 
469.86,9.127 ,5.740 ,2.413 
470.07,9.144 ,5.749 ,2.412 
470.27,9.160 ,5.757 ,2.412 
470.47,9.176 ,5.766 ,2.412 
470.67,9.192 ,5.774 ,2.413 
470.87,9.208 ,5.783 ,2.413 
471.07,9.224 ,5.791 ,2.413 
471.27,9.240 ,5.800 ,2.414 
471.47,9.256 ,5.808 ,2.414 
471.68,9.272 ,5.816 ,2.415 
471.88,9.288 ,5.825 ,2.416 
472.08,9.304 ,5.833 ,2.417 
472.28,9.319 ,5.841 ,2.417 
472.48,9.335 ,5.849 ,2.418 
472.68,9.350 ,5.857 ,2.419 
472.88,9.366 ,5.866 ,2.420 
473.08,9.381 ,5.874 ,2.421 
473.29,9.396 ,5.882 ,2.421 
473.49,9.411 ,5.890 ,2.422 
473.69,9.426 ,5.897 ,2.423 
473.89,9.440 ,5.905 ,2.424 
474.09,9.455 ,5.913 ,2.425 
474.29,9.469 ,5.921 ,2.425 
474.49,9.483 ,5.928 ,2.426 
474.69,9.497 ,5.936 ,2.426 
474.89,9.510 ,5.943 ,2.427 
475.09,9.524 ,5.950 ,2.427 
475.3,9.537 ,5.957 ,2.427 
475.5,9.550 ,5.964 ,2.427 
475.7,9.562 ,5.971 ,2.428 
475.9,9.575 ,5.978 ,2.428 
476.1,9.587 ,5.985 ,2.428 
476.3,9.599 ,5.992 ,2.428 
476.5,9.612 ,5.998 ,2.429 
476.7,9.624 ,6.005 ,2.429 
476.9,9.636 ,6.011 ,2.430 
477.1,9.648 ,6.017 ,2.431 
477.31,9.659 ,6.024 ,2.431 
477.51,9.671 ,6.030 ,2.432 
477.71,9.682 ,6.036 ,2.433 
477.91,9.694 ,6.042 ,2.434 
478.11,9.705 ,6.048 ,2.434 
478.31,9.716 ,6.054 ,2.435 
478.51,9.727 ,6.060 ,2.436 
478.71,9.738 ,6.065 ,2.437 
478.91,9.749 ,6.071 ,2.438 
479.11,9.759 ,6.077 ,2.438 
479.31,9.770 ,6.083 ,2.439 
479.51,9.780 ,6.088 ,2.440 
479.71,9.790 ,6.094 ,2.441 
479.92,9.800 ,6.100 ,2.441 
480.12,9.810 ,6.105 ,2.442 
480.32,9.820 ,6.111 ,2.442 
480.52,9.830 ,6.116 ,2.443 
480.72,9.839 ,6.122 ,2.443 
480.92,9.848 ,6.127 ,2.443 
481.12,9.857 ,6.133 ,2.444 
481.32,9.867 ,6.139 ,2.444 
481.52,9.875 ,6.144 ,2.444 
481.72,9.884 ,6.150 ,2.444 
481.92,9.893 ,6.155 ,2.443 
482.12,9.901 ,6.161 ,2.443 
482.32,9.909 ,6.166 ,2.442 
482.52,9.916 ,6.170 ,2.442 
482.72,9.923 ,6.175 ,2.441 
482.92,9.930 ,6.178 ,2.440 
483.13,9.936 ,6.182 ,2.439 
483.33,9.942 ,6.185 ,2.438 
483.53,9.947 ,6.187 ,2.437 
483.73,9.952 ,6.190 ,2.436 
483.93,9.957 ,6.192 ,2.435 
484.13,9.961 ,6.194 ,2.434 
484.33,9.965 ,6.195 ,2.433 
484.53,9.969 ,6.197 ,2.432 
484.73,9.973 ,6.199 ,2.431 
484.93,9.977 ,6.200 ,2.429 
485.13,9.980 ,6.202 ,2.428 
485.33,9.984 ,6.203 ,2.427 
485.53,9.987 ,6.205 ,2.425 
485.73,9.991 ,6.206 ,2.424 
485.93,9.994 ,6.208 ,2.422 
486.13,9.998 ,6.210 ,2.421 
486.33,10.001 ,6.213 ,2.420 
486.53,10.005 ,6.215 ,2.418 
486.73,10.009 ,6.218 ,2.417 
486.93,10.013 ,6.221 ,2.416 
487.13,10.017 ,6.225 ,2.414 
487.33,10.022 ,6.229 ,2.413 
487.53,10.026 ,6.233 ,2.412 
487.73,10.031 ,6.238 ,2.411 
487.93,10.037 ,6.244 ,2.409 
488.13,10.042 ,6.250 ,2.408 
488.33,10.048 ,6.257 ,2.407 
488.53,10.054 ,6.263 ,2.406 
488.73,10.060 ,6.270 ,2.405 
488.93,10.065 ,6.275 ,2.403 
489.13,10.070 ,6.281 ,2.401 
489.33,10.074 ,6.286 ,2.399 
489.53,10.079 ,6.291 ,2.397 
489.73,10.083 ,6.296 ,2.395 
489.93,10.086 ,6.301 ,2.392 
490.14,10.090 ,6.305 ,2.390 
490.34,10.093 ,6.310 ,2.387 
490.54,10.097 ,6.314 ,2.384 
490.74,10.100 ,6.318 ,2.382 
490.94,10.103 ,6.323 ,2.379 
491.14,10.106 ,6.327 ,2.376 
491.34,10.109 ,6.332 ,2.373 
491.54,10.112 ,6.337 ,2.370 
491.74,10.115 ,6.342 ,2.367 
491.94,10.118 ,6.347 ,2.365 
492.14,10.122 ,6.353 ,2.362 
492.33,10.125 ,6.359 ,2.359 
492.53,10.129 ,6.365 ,2.357 
492.73,10.133 ,6.372 ,2.354 
492.93,10.137 ,6.379 ,2.352 
493.13,10.142 ,6.387 ,2.350 
493.33,10.146 ,6.395 ,2.348 
493.53,10.151 ,6.404 ,2.346 
493.73,10.157 ,6.414 ,2.344 
493.93,10.163 ,6.424 ,2.343 
494.13,10.169 ,6.435 ,2.342 
494.33,10.176 ,6.447 ,2.341 
494.53,10.184 ,6.459 ,2.340 
494.73,10.192 ,6.473 ,2.340 
494.93,10.200 ,6.487 ,2.340 
495.13,10.209 ,6.501 ,2.339 
495.33,10.217 ,6.515 ,2.338 
495.53,10.226 ,6.529 ,2.337 
495.73,10.235 ,6.543 ,2.336 
495.93,10.244 ,6.557 ,2.334 
496.13,10.253 ,6.572 ,2.332 
496.33,10.262 ,6.586 ,2.330 
496.53,10.271 ,6.600 ,2.328 
496.73,10.281 ,6.615 ,2.326 
496.93,10.291 ,6.629 ,2.324 
497.13,10.300 ,6.644 ,2.322 
497.33,10.310 ,6.660 ,2.320 
497.53,10.320 ,6.675 ,2.318 
497.73,10.330 ,6.691 ,2.316 
497.93,10.340 ,6.707 ,2.314 
498.13,10.351 ,6.724 ,2.312 
498.33,10.361 ,6.741 ,2.310 
498.53,10.372 ,6.758 ,2.309 
498.73,10.383 ,6.776 ,2.308 
498.93,10.394 ,6.795 ,2.307 
499.13,10.405 ,6.814 ,2.306 
499.32,10.416 ,6.833 ,2.306 
499.52,10.427 ,6.853 ,2.306 
499.72,10.439 ,6.874 ,2.306 
499.92,10.450 ,6.895 ,2.307 
500.12,10.462 ,6.917 ,2.308 
500.32,10.474 ,6.940 ,2.310 
500.52,10.486 ,6.964 ,2.312 
500.72,10.498 ,6.988 ,2.314 
500.92,10.510 ,7.014 ,2.318 
501.12,10.523 ,7.040 ,2.321 
501.32,10.536 ,7.066 ,2.325 
501.52,10.549 ,7.093 ,2.328 
501.72,10.563 ,7.120 ,2.331 
501.92,10.578 ,7.148 ,2.333 
502.12,10.592 ,7.177 ,2.336 
502.32,10.607 ,7.205 ,2.338 
502.51,10.623 ,7.235 ,2.340 
502.71,10.639 ,7.264 ,2.342 
502.91,10.655 ,7.294 ,2.344 
503.11,10.671 ,7.325 ,2.346 
503.31,10.688 ,7.356 ,2.348 
503.51,10.704 ,7.388 ,2.351 
503.71,10.721 ,7.420 ,2.353 
503.91,10.739 ,7.452 ,2.356 
504.11,10.756 ,7.485 ,2.358 
504.31,10.773 ,7.518 ,2.361 
504.51,10.791 ,7.552 ,2.365 
504.71,10.808 ,7.586 ,2.368 
504.91,10.826 ,7.621 ,2.372 
505.1,10.843 ,7.656 ,2.377 
505.3,10.861 ,7.692 ,2.382 
505.5,10.878 ,7.728 ,2.387 
505.7,10.896 ,7.764 ,2.393 
505.9,10.913 ,7.801 ,2.400 
506.1,10.930 ,7.839 ,2.407 
506.3,10.947 ,7.877 ,2.415 
506.5,10.964 ,7.915 ,2.423 
506.7,10.980 ,7.954 ,2.433 
506.9,10.996 ,7.993 ,2.443 
507.09,11.013 ,8.033 ,2.454 
507.29,11.028 ,8.073 ,2.466 
507.49,11.044 ,8.114 ,2.478 
507.69,11.059 ,8.155 ,2.491 
507.89,11.076 ,8.198 ,2.504 
508.09,11.092 ,8.241 ,2.516 
508.29,11.109 ,8.286 ,2.528 
508.49,11.126 ,8.331 ,2.540 
508.69,11.143 ,8.377 ,2.552 
508.89,11.160 ,8.423 ,2.564 
509.08,11.178 ,8.471 ,2.576 
509.28,11.196 ,8.519 ,2.589 
509.48,11.214 ,8.567 ,2.601 
509.68,11.232 ,8.617 ,2.614 
509.88,11.250 ,8.666 ,2.627 
510.08,11.268 ,8.717 ,2.640 
510.28,11.287 ,8.767 ,2.654 
510.48,11.305 ,8.818 ,2.668 
510.67,11.323 ,8.870 ,2.682 
510.87,11.341 ,8.922 ,2.697 
511.07,11.359 ,8.974 ,2.713 
511.27,11.377 ,9.026 ,2.729 
511.47,11.395 ,9.078 ,2.746 
511.67,11.412 ,9.131 ,2.764 
511.87,11.430 ,9.184 ,2.782 
512.07,11.447 ,9.237 ,2.801 
512.26,11.464 ,9.289 ,2.821 
512.46,11.480 ,9.342 ,2.842 
512.66,11.496 ,9.395 ,2.864 
512.86,11.512 ,9.447 ,2.887 
513.06,11.528 ,9.500 ,2.911 
513.26,11.543 ,9.552 ,2.936 
513.46,11.557 ,9.604 ,2.962 
513.65,11.572 ,9.656 ,2.990 
513.85,11.586 ,9.708 ,3.018 
514.05,11.600 ,9.762 ,3.047 
514.25,11.614 ,9.816 ,3.076 
514.45,11.628 ,9.872 ,3.105 
514.65,11.642 ,9.928 ,3.135 
514.85,11.656 ,9.986 ,3.166 
515.04,11.670 ,10.044 ,3.197 
515.24,11.684 ,10.102 ,3.229 
515.44,11.698 ,10.161 ,3.262 
515.64,11.711 ,10.221 ,3.295 
515.84,11.725 ,10.282 ,3.328 
516.04,11.739 ,10.342 ,3.362 
516.23,11.752 ,10.404 ,3.397 
516.43,11.766 ,10.465 ,3.432 
516.63,11.779 ,10.527 ,3.468 
516.83,11.793 ,10.589 ,3.504 
517.03,11.806 ,10.651 ,3.541 
517.23,11.819 ,10.713 ,3.578 
517.42,11.832 ,10.775 ,3.617 
517.62,11.845 ,10.837 ,3.655 
517.82,11.857 ,10.899 ,3.695 
518.02,11.870 ,10.961 ,3.735 
518.22,11.882 ,11.022 ,3.775 
518.42,11.895 ,11.083 ,3.817 
518.61,11.907 ,11.144 ,3.858 
518.81,11.918 ,11.204 ,3.901 
519.01,11.930 ,11.264 ,3.944 
519.21,11.942 ,11.323 ,3.988 
519.41,11.953 ,11.382 ,4.032 
519.61,11.964 ,11.440 ,4.077 
519.8,11.975 ,11.497 ,4.123 
520,11.985 ,11.553 ,4.170 
520.2,11.995 ,11.610 ,4.217 
520.4,12.005 ,11.667 ,4.267 
520.6,12.015 ,11.725 ,4.318 
520.79,12.025 ,11.784 ,4.371 
520.99,12.034 ,11.843 ,4.424 
521.19,12.043 ,11.903 ,4.480 
521.39,12.052 ,11.963 ,4.536 
521.59,12.061 ,12.024 ,4.594 
521.78,12.069 ,12.085 ,4.652 
521.98,12.078 ,12.146 ,4.712 
522.18,12.086 ,12.208 ,4.773 
522.38,12.094 ,12.269 ,4.834 
522.58,12.102 ,12.331 ,4.896 
522.77,12.110 ,12.393 ,4.959 
522.97,12.117 ,12.454 ,5.022 
523.17,12.125 ,12.516 ,5.086 
523.37,12.132 ,12.577 ,5.150 
523.57,12.140 ,12.639 ,5.214 
523.76,12.147 ,12.700 ,5.279 
523.96,12.154 ,12.760 ,5.344 
524.16,12.161 ,12.821 ,5.409 
524.36,12.168 ,12.880 ,5.474 
524.56,12.175 ,12.940 ,5.539 
524.75,12.182 ,12.998 ,5.603 
524.95,12.189 ,13.056 ,5.667 
525.15,12.196 ,13.114 ,5.731 
525.35,12.203 ,13.170 ,5.795 
525.55,12.211 ,13.226 ,5.858 
525.74,12.218 ,13.281 ,5.920 
525.94,12.225 ,13.335 ,5.982 
526.14,12.232 ,13.388 ,6.043 
526.34,12.239 ,13.440 ,6.103 
526.53,12.246 ,13.492 ,6.165 
526.73,12.253 ,13.544 ,6.228 
526.93,12.260 ,13.596 ,6.294 
527.13,12.267 ,13.649 ,6.361 
527.32,12.273 ,13.701 ,6.430 
527.52,12.280 ,13.754 ,6.500 
527.72,12.286 ,13.807 ,6.571 
527.92,12.292 ,13.859 ,6.643 
528.12,12.298 ,13.912 ,6.717 
528.31,12.304 ,13.965 ,6.791 
528.51,12.310 ,14.017 ,6.866 
528.71,12.316 ,14.069 ,6.942 
528.91,12.321 ,14.122 ,7.018 
529.1,12.327 ,14.173 ,7.094 
529.3,12.332 ,14.225 ,7.171 
529.5,12.337 ,14.276 ,7.247 
529.7,12.343 ,14.327 ,7.324 
529.89,12.348 ,14.377 ,7.400 
530.09,12.353 ,14.427 ,7.475 
530.29,12.358 ,14.476 ,7.551 
530.49,12.363 ,14.525 ,7.625 
530.68,12.368 ,14.573 ,7.699 
530.88,12.373 ,14.621 ,7.771 
531.08,12.378 ,14.668 ,7.843 
531.28,12.382 ,14.714 ,7.913 
531.47,12.387 ,14.759 ,7.982 
531.67,12.392 ,14.804 ,8.049 
531.87,12.396 ,14.847 ,8.115 
532.07,12.401 ,14.890 ,8.179 
532.26,12.406 ,14.932 ,8.241 
532.46,12.410 ,14.973 ,8.300 
532.66,12.415 ,15.013 ,8.358 
532.85,12.419 ,15.052 ,8.416 
533.05,12.423 ,15.091 ,8.474 
533.25,12.427 ,15.129 ,8.533 
533.45,12.431 ,15.167 ,8.592 
533.64,12.435 ,15.204 ,8.651 
533.84,12.439 ,15.241 ,8.711 
534.04,12.443 ,15.277 ,8.770 
534.24,12.447 ,15.313 ,8.830 
534.43,12.450 ,15.349 ,8.890 
534.63,12.454 ,15.384 ,8.949 
534.83,12.457 ,15.418 ,9.009 
535.02,12.460 ,15.452 ,9.068 
535.22,12.464 ,15.486 ,9.127 
535.42,12.467 ,15.519 ,9.185 
535.62,12.470 ,15.552 ,9.243 
535.81,12.473 ,15.584 ,9.301 
536.01,12.476 ,15.616 ,9.358 
536.21,12.479 ,15.647 ,9.414 
536.4,12.482 ,15.678 ,9.469 
536.6,12.485 ,15.709 ,9.524 
536.8,12.488 ,15.739 ,9.578 
537,12.491 ,15.768 ,9.631 
537.19,12.494 ,15.797 ,9.682 
537.39,12.497 ,15.826 ,9.733 
537.59,12.500 ,15.854 ,9.782 
537.78,12.503 ,15.882 ,9.831 
537.98,12.506 ,15.910 ,9.877 
538.18,12.509 ,15.937 ,9.923 
538.37,12.512 ,15.963 ,9.967 
538.57,12.515 ,15.989 ,10.009 
538.77,12.519 ,16.015 ,10.050 
538.96,12.521 ,16.039 ,10.090 
539.16,12.523 ,16.063 ,10.128 
539.36,12.525 ,16.085 ,10.165 
539.56,12.527 ,16.107 ,10.201 
539.75,12.528 ,16.127 ,10.236 
539.95,12.529 ,16.147 ,10.270 
540.15,12.530 ,16.165 ,10.303 
540.34,12.531 ,16.183 ,10.335 
540.54,12.531 ,16.201 ,10.366 
540.74,12.531 ,16.217 ,10.396 
540.93,12.531 ,16.233 ,10.425 
541.13,12.531 ,16.249 ,10.454 
541.33,12.531 ,16.263 ,10.482 
541.52,12.531 ,16.278 ,10.509 
541.72,12.531 ,16.292 ,10.535 
541.92,12.531 ,16.306 ,10.561 
542.11,12.531 ,16.319 ,10.586 
542.31,12.531 ,16.332 ,10.611 
542.51,12.531 ,16.345 ,10.636 
542.7,12.531 ,16.358 ,10.659 
542.9,12.531 ,16.370 ,10.683 
543.1,12.532 ,16.383 ,10.706 
543.29,12.532 ,16.395 ,10.729 
543.49,12.533 ,16.408 ,10.752 
543.69,12.534 ,16.421 ,10.774 
543.88,12.536 ,16.434 ,10.796 
544.08,12.538 ,16.447 ,10.819 
544.28,12.540 ,16.460 ,10.841 
544.47,12.542 ,16.474 ,10.863 
544.67,12.545 ,16.488 ,10.885 
544.87,12.548 ,16.502 ,10.907 
545.06,12.552 ,16.517 ,10.929 
545.26,12.555 ,16.531 ,10.949 
545.46,12.558 ,16.544 ,10.969 
545.65,12.561 ,16.557 ,10.988 
545.85,12.563 ,16.569 ,11.005 
546.04,12.566 ,16.581 ,11.022 
546.24,12.568 ,16.592 ,11.038 
546.44,12.570 ,16.603 ,11.053 
546.63,12.572 ,16.613 ,11.067 
546.83,12.574 ,16.623 ,11.081 
547.03,12.576 ,16.632 ,11.094 
547.22,12.578 ,16.641 ,11.106 
547.42,12.580 ,16.650 ,11.118 
547.62,12.582 ,16.659 ,11.129 
547.81,12.584 ,16.667 ,11.139 
548.01,12.587 ,16.675 ,11.150 
548.2,12.589 ,16.684 ,11.159 
548.4,12.592 ,16.692 ,11.169 
548.6,12.595 ,16.699 ,11.178 
548.79,12.598 ,16.707 ,11.187 
548.99,12.601 ,16.715 ,11.196 
549.19,12.605 ,16.723 ,11.205 
549.38,12.609 ,16.731 ,11.213 
549.58,12.613 ,16.739 ,11.222 
549.77,12.618 ,16.747 ,11.230 
549.97,12.623 ,16.756 ,11.239 
550.17,12.628 ,16.764 ,11.248 
550.36,12.634 ,16.773 ,11.257 
550.56,12.641 ,16.782 ,11.266 
550.76,12.648 ,16.792 ,11.275 
550.95,12.655 ,16.802 ,11.285 
551.15,12.663 ,16.812 ,11.295 
551.34,12.672 ,16.822 ,11.305 
551.54,12.680 ,16.833 ,11.315 
551.74,12.689 ,16.843 ,11.326 
551.93,12.698 ,16.854 ,11.336 
552.13,12.707 ,16.865 ,11.347 
552.32,12.716 ,16.876 ,11.357 
552.52,12.726 ,16.887 ,11.368 
552.72,12.736 ,16.898 ,11.378 
552.91,12.746 ,16.910 ,11.389 
553.11,12.756 ,16.921 ,11.399 
553.3,12.767 ,16.932 ,11.409 
553.5,12.778 ,16.943 ,11.418 
553.7,12.788 ,16.954 ,11.428 
553.89,12.800 ,16.965 ,11.437 
554.09,12.811 ,16.976 ,11.446 
554.28,12.822 ,16.986 ,11.454 
554.48,12.834 ,16.997 ,11.462 
554.67,12.846 ,17.007 ,11.470 
554.87,12.858 ,17.017 ,11.476 
555.07,12.870 ,17.027 ,11.483 
555.26,12.882 ,17.036 ,11.489 
555.46,12.895 ,17.046 ,11.494 
555.65,12.907 ,17.055 ,11.498 
555.85,12.920 ,17.063 ,11.502 
556.05,12.933 ,17.072 ,11.505 
556.24,12.946 ,17.079 ,11.508 
556.44,12.959 ,17.087 ,11.509 
556.63,12.973 ,17.094 ,11.510 
556.83,12.986 ,17.100 ,11.509 
557.02,13.000 ,17.107 ,11.508 
557.22,13.014 ,17.112 ,11.506 
557.42,13.028 ,17.118 ,11.504 
557.61,13.042 ,17.124 ,11.502 
557.81,13.056 ,17.129 ,11.499 
558,13.071 ,17.135 ,11.497 
558.2,13.085 ,17.141 ,11.494 
558.39,13.100 ,17.147 ,11.491 
558.59,13.116 ,17.152 ,11.488 
558.78,13.131 ,17.158 ,11.485 
558.98,13.146 ,17.164 ,11.482 
559.18,13.162 ,17.169 ,11.478 
559.37,13.178 ,17.175 ,11.474 
559.57,13.194 ,17.180 ,11.469 
559.76,13.211 ,17.185 ,11.464 
559.96,13.227 ,17.190 ,11.459 
560.15,13.244 ,17.194 ,11.453 
560.35,13.261 ,17.199 ,11.446 
560.54,13.278 ,17.203 ,11.439 
560.74,13.295 ,17.207 ,11.431 
560.94,13.312 ,17.211 ,11.423 
561.13,13.330 ,17.214 ,11.414 
561.33,13.348 ,17.217 ,11.405 
561.52,13.365 ,17.220 ,11.394 
561.72,13.384 ,17.222 ,11.383 
561.91,13.402 ,17.224 ,11.371 
562.11,13.420 ,17.226 ,11.358 
562.3,13.439 ,17.227 ,11.345 
562.5,13.458 ,17.227 ,11.330 
562.69,13.477 ,17.227 ,11.315 
562.89,13.496 ,17.227 ,11.298 
563.08,13.515 ,17.226 ,11.281 
563.28,13.534 ,17.225 ,11.262 
563.47,13.554 ,17.223 ,11.242 
563.67,13.574 ,17.221 ,11.222 
563.86,13.595 ,17.219 ,11.200 
564.06,13.615 ,17.216 ,11.177 
564.26,13.636 ,17.213 ,11.153 
564.45,13.657 ,17.209 ,11.128 
564.65,13.678 ,17.205 ,11.103 
564.84,13.699 ,17.201 ,11.076 
565.04,13.721 ,17.197 ,11.049 
565.23,13.743 ,17.192 ,11.021 
565.43,13.765 ,17.187 ,10.992 
565.62,13.787 ,17.181 ,10.963 
565.82,13.810 ,17.176 ,10.932 
566.01,13.832 ,17.170 ,10.902 
566.21,13.855 ,17.164 ,10.871 
566.4,13.878 ,17.157 ,10.839 
566.6,13.901 ,17.151 ,10.807 
566.79,13.924 ,17.144 ,10.774 
566.99,13.947 ,17.136 ,10.741 
567.18,13.970 ,17.129 ,10.708 
567.38,13.994 ,17.121 ,10.674 
567.57,14.018 ,17.114 ,10.640 
567.77,14.041 ,17.106 ,10.606 
567.96,14.065 ,17.097 ,10.571 
568.16,14.089 ,17.089 ,10.537 
568.35,14.113 ,17.081 ,10.503 
568.55,14.137 ,17.072 ,10.468 
568.74,14.161 ,17.063 ,10.433 
568.94,14.185 ,17.054 ,10.399 
569.13,14.209 ,17.045 ,10.364 
569.33,14.233 ,17.035 ,10.330 
569.52,14.258 ,17.025 ,10.294 
